Luminosity,teff_gspphot,bp_rp,phot_g_mean_mag
6.18E-02,3333,1.57,10.1
1.86E-02,3333,1.57,11.4

3.65E+06,3320,1.58,-9.3
4.81E+05,3320,1.58,-7.1
1.10E+05,3320,1.58,-5.5
8.36E+03,3320,1.58,-2.7
1.21E+03,3320,1.58,-0.6
5.09E+01,3167,1.65,3.2
3.21E-02,3167,1.65,11.2
8.85E-03,3167,1.65,12.6

5.07E+06,3130,1.67,-9.2
7.33E+05,3130,1.67,-7.1
1.68E+05,3130,1.67,-5.5
1.40E+04,3130,1.67,-2.8
1.84E+03,3130,1.67,-0.6
7.76E+01,3000,1.74,3.2
1.78E-02,3000,1.74,12.3
4.90E-03,3000,1.74,13.7

8.38E+06,2940,1.77,-9.2
1.10E+06,2940,1.77,-7
2.77E+05,2940,1.77,-5.5
2.31E+04,2940,1.77,-2.8
2.77E+03,2940,1.77,-0.5
1.27E+02,2833,1.83,3.2
1.06E-02,2833,1.83,13.4
2.66E-03,2833,1.83,14.9

1.53E+07,2750,1.88,-9.2
2.02E+06,2750,1.88,-7
5.07E+05,2750,1.88,-5.5
4.62E+04,2750,1.88,-2.9
5.07E+03,2750,1.88,-0.5
2.07E+02,2667,1.93,3.3
6.24E-03,2667,1.93,14.6
1.72E-03,2667,1.93,16

2.88E+07,2560,2,-9.1
4.17E+06,2560,2,-7
9.55E+05,2560,2,-5.4
9.55E+04,2560,2,-2.9
9.55E+03,2560,2,-0.4
4.10E+02,2500,2.03,3.3
4.50E-03,2500,2.03,15.7
1.63E-03,2500,2.03,16.8

6.96E+07,2370,2.12,-9.1
9.18E+06,2370,2.12,-6.9
2.10E+06,2370,2.12,-5.3
2.53E+05,2370,2.12,-3
2.10E+04,2370,2.12,-0.3
9.26E+02,2333,2.14,3.3
3.69E-03,2333,2.14,16.8
1.94E-03,2333,2.14,17.5

2.05E+08,2180,2.25,-9.1
2.70E+07,2180,2.25,-6.9
5.15E+06,2180,2.25,-5.1
7.44E+05,2180,2.25,-3
5.15E+04,2180,2.25,-0.1
2.44E+03,2167,2.26,3.3
3.53E-03,2167,2.26,17.9
2.44E-03,2167,2.26,18.3

7.11E+08,1990,2.4,-9
1.03E+08,1990,2.4,-6.9
1.79E+07,1990,2.4,-5
2.83E+06,1990,2.4,-3
1.79E+05,1990,2.4,0
7.91E+03,2000,2.39,3.3
4.15E-03,2000,2.39,19
4.15E-03,2000,2.39,19

3.41E+07,50000,-0.35,-9.5
2.59E+06,50000,-0.35,-6.7
2.15E+06,50000,-0.35,-6.5
2.15E+06,50000,-0.35,-6.5
2.15E+06,50000,-0.35,-6.5
1.36E+06,50000,-0.35,-6
1.24E+06,50000,-0.35,-5.9
9.40E+05,50000,-0.35,-5.6

2.71E+07,47600,-0.35,-9.4
2.25E+06,47600,-0.35,-6.7
1.87E+06,47600,-0.35,-6.5
1.73E+06,47800,-0.35,-6.4
1.58E+06,47800,-0.35,-6.3
1.09E+06,47800,-0.35,-5.9
9.94E+05,47800,-0.35,-5.8
7.54E+05,47800,-0.35,-5.5

2.14E+07,45200,-0.35,-9.3
2.14E+06,45200,-0.35,-6.8
1.62E+06,45200,-0.35,-6.5
1.52E+06,45600,-0.35,-6.4
1.26E+06,45600,-0.35,-6.2
8.72E+05,45600,-0.35,-5.8
7.95E+05,45600,-0.35,-5.7
6.03E+05,45600,-0.35,-5.4

1.68E+07,42800,-0.34,-9.2
1.85E+06,42800,-0.34,-6.8
1.40E+06,42800,-0.34,-6.5
1.21E+06,43400,-0.34,-6.3
